source,target
TNFA_SIGNALING_VIA_NFKB,DUSP5
COMPLEMENT,DUSP5
HYPOXIA,ZFP36
TNFA_SIGNALING_VIA_NFKB,ZFP36
ESTROGEN_RESPONSE_LATE,ZFP36
TNFA_SIGNALING_VIA_NFKB,PANX1
INFLAMMATORY_RESPONSE,PTGER4
TNFA_SIGNALING_VIA_NFKB,PTGER4
P53_PATHWAY,IER5
TNFA_SIGNALING_VIA_NFKB,IER5
TNFA_SIGNALING_VIA_NFKB,REL
TNFA_SIGNALING_VIA_NFKB,FJX1
INTERFERON_GAMMA_RESPONSE,TNFAIP6
INFLAMMATORY_RESPONSE,TNFAIP6
TNFA_SIGNALING_VIA_NFKB,TNFAIP6
INTERFERON_GAMMA_RESPONSE,TNFAIP2
TNFA_SIGNALING_VIA_NFKB,TNFAIP2
TNFA_SIGNALING_VIA_NFKB,EIF1
TNFA_SIGNALING_VIA_NFKB,EGR1
DNA_REPAIR,PDE4B
INTERFERON_GAMMA_RESPONSE,PDE4B
TNFA_SIGNALING_VIA_NFKB,PDE4B
INFLAMMATORY_RESPONSE,PDE4B
HYPOXIA,JUN
P53_PATHWAY,JUN
TNFA_SIGNALING_VIA_NFKB,JUN
EPITHELIAL_MESENCHYMAL_TRANSITION,JUN
IL6_JAK_STAT3_SIGNALING,JUN
APOPTOSIS,JUN
XENOBIOTIC_METABOLISM,KYNU
TNFA_SIGNALING_VIA_NFKB,KYNU
COMPLEMENT,KYNU
TNFA_SIGNALING_VIA_NFKB,IL23A
MTORC1_SIGNALING,SQSTM1
TNFA_SIGNALING_VIA_NFKB,SQSTM1
PI3K_AKT_MTOR_SIGNALING,SQSTM1
UV_RESPONSE_UP,SQSTM1
APOPTOSIS,SQSTM1
ALLOGRAFT_REJECTION,ICOSLG
INFLAMMATORY_RESPONSE,ICOSLG
TNFA_SIGNALING_VIA_NFKB,ICOSLG
TNFA_SIGNALING_VIA_NFKB,RCAN1
ALLOGRAFT_REJECTION,IL6
INTERFERON_GAMMA_RESPONSE,IL6
APOPTOSIS,IL6
HYPOXIA,IL6
TNFA_SIGNALING_VIA_NFKB,IL6
EPITHELIAL_MESENCHYMAL_TRANSITION,IL6
