iteration,n_genes,cv_acc,mean_shap,std_shap,dropped,top20
24,484,0.8824831120428605,0.016062667593359947,0.049623820930719376,"['COLEC12', 'COPZ2', 'CPD', 'CPE', 'CRABP2']","['CCNB1', 'MELTF', 'PLOD2', 'CDK6', 'BMP7', 'RPA1', 'GGTLC1', 'MARCO', 'ATP13A4', 'TMPRSS2', 'CPM', 'CD99', 'RASGRF1', 'CXCL14', 'SCUBE2', 'MALL', 'NIBAN1', 'PRRX2', 'CFTR', 'ANLN']"
25,479,0.8948287910552062,0.016386667266488075,0.05294489115476608,"['CREB3L1', 'CRLF1', 'CRTAC1', 'CRYM', 'CST6']","['MELTF', 'CCNB1', 'BMP7', 'PLOD2', 'CDK6', 'CD99', 'ATP13A4', 'RPA1', 'RASGRF1', 'SCUBE2', 'MARCO', 'CXCL14', 'TMPRSS2', 'MALL', 'LBR', 'GGTLC1', 'TMEM125', 'CFTR', 'UCK2', 'ADH1B']"
26,474,0.9007686932215234,0.016620654612779617,0.04835064709186554,"['CTSE', 'CXCL17', 'CYB5A', 'CYBRD1', 'CYP4B1']","['CCNB1', 'MELTF', 'PLOD2', 'BMP7', 'CDK6', 'NIBAN1', 'RASGRF1', 'CXCL14', 'ATP13A4', 'GGTLC1', 'MALL', 'CPM', 'CD99', 'PRRX2', 'RPA1', 'C16orf89', 'TMPRSS2', 'MARCO', 'ADH1B', 'ANLN']"
27,469,0.8638481248544142,0.01669149659574032,0.049557656049728394,"['DAAM2', 'DAB2', 'DCBLD2', 'DDC', 'DHRS3']","['MELTF', 'CCNB1', 'CDK6', 'PLOD2', 'CD99', 'BMP7', 'ATP13A4', 'SCUBE2', 'RASGRF1', 'CFTR', 'CXCL14', 'MARCO', 'PRRX2', 'TMPRSS2', 'CPM', 'ANLN', 'LBR', 'MALL', 'GGTLC1', 'C16orf89']"
28,464,0.8760773351968321,0.016985462978482246,0.05256103351712227,"['CCT5', 'CYTH3', 'DDIT3', 'DKK1', 'DMBT1']","['MELTF', 'CCNB1', 'PLOD2', 'BMP7', 'CD99', 'RASGRF1', 'CXCL14', 'CFTR', 'TMPRSS2', 'RPA1', 'NIBAN1', 'CDK6', 'MARCO', 'ANLN', 'SCUBE2', 'UCK2', 'CPM', 'MALL', 'GGTLC1', 'ATP13A4']"
29,459,0.8884230142091777,0.01713923178613186,0.04978672415018082,"['ASRGL1', 'DMD', 'DNAJC12', 'DOK4', 'DPYSL2']","['CCNB1', 'MELTF', 'PLOD2', 'TMPRSS2', 'CD99', 'CDK6', 'CXCL14', 'RASGRF1', 'PRRX2', 'BMP7', 'RPA1', 'ATP13A4', 'SCUBE2', 'MARCO', 'GGTLC1', 'NIBAN1', 'UCK2', 'ANLN', 'MALL', 'LFNG']"
30,454,0.8885394828791057,0.01724301092326641,0.049612678587436676,"['DIAPH2', 'DRAIC', 'DRAM1', 'DSG2', 'DTX4']","['CCNB1', 'MELTF', 'PLOD2', 'BMP7', 'SCUBE2', 'ATP13A4', 'MALL', 'CD99', 'CDK6', 'MARCO', 'ANLN', 'RASGRF1', 'CXCL14', 'RPA1', 'PRRX2', 'GGTLC1', 'CPM', 'ADH1B', 'UBE2T', 'LBR']"
31,449,0.8948287910552062,0.017443211749196053,0.05193817615509033,"['COL9A2', 'DSC2', 'DSEL', 'DTNA', 'DUOXA1']","['CCNB1', 'MELTF', 'PLOD2', 'CD99', 'TMPRSS2', 'BMP7', 'SCUBE2', 'RPA1', 'MARCO', 'GGTLC1', 'RASGRF1', 'CXCL14', 'CDK6', 'MALL', 'ATP13A4', 'ADH1B', 'CFTR', 'LBR', 'PRRX2', 'CPM']"
32,444,0.8761938038667599,0.017676670104265213,0.053429145365953445,"['ECM1', 'EFEMP1', 'EFNA5', 'EGLN3', 'EPDR1']","['CCNB1', 'MELTF', 'CD99', 'PLOD2', 'BMP7', 'MARCO', 'RASGRF1', 'ATP13A4', 'CXCL14', 'SCUBE2', 'NIBAN1', 'CDK6', 'CPM', 'ADH1B', 'TMPRSS2', 'RPA1', 'MALL', 'CYP4F11', 'GGTLC1', 'CFTR']"
33,439,0.8886559515490333,0.017940258607268333,0.05153195932507515,"['DUOX1', 'EFNA1', 'EPHX1', 'ERN2', 'FAM3C']","['MELTF', 'CCNB1', 'PLOD2', 'TMPRSS2', 'CDK6', 'BMP7', 'MALL', 'CD99', 'RASGRF1', 'CXCL14', 'ATP13A4', 'LBR', 'MARCO', 'SCUBE2', 'CPM', 'RPA1', 'NIBAN1', 'UBE2T', 'ADH1B', 'TMEM125']"
